"genes"	"modules"
"CHRNA2"	"M1"
"FBLN7"	"M1"
"CSF2RB"	"M2"
"OR2L13"	"M1"
"C1orf112"	"M2"
"ZMYM1"	"M2"
"PLBD1"	"M2"
"CAPN13"	"M3"
"DRC1"	"Not.Correlated"
"RAB6C-AS1"	"M3"
"LHFPL4"	"M1"
"RBM47"	"M2"
"B3GNT5"	"M2"
"CLEC5A"	"M2"
"SYT2"	"M1"
"GPR6"	"M1"
"CPED1"	"M2"
"APOL4"	"Not.Correlated"
"CCDC85A"	"M2"
"PCDHGB6"	"M2"
"CYP4F12"	"Not.Correlated"
"GRM5P1"	"M1"
"CFAP52"	"M1"
"CYSLTR2"	"M2"
"EGR4"	"M1"
"CFAP157"	"Not.Correlated"
"KCNJ2-AS1"	"M3"
"SFN"	"Not.Correlated"
"SAMD11"	"Not.Correlated"
"EIF4A1"	"M2"
"DNAH10"	"M2"
"CACNG2"	"M1"
"CD180"	"M2"
"ARMC3"	"Not.Correlated"
"ZFY"	"Not.Correlated"
"CH25H"	"M2"
"CDKL5"	"M2"
"CHRM5"	"Not.Correlated"
"LYZ"	"M2"
"LINC00507"	"M1"
"ASB2"	"M1"
"N4BP2"	"M2"
"SDR16C5"	"M1"
"ANKRD36BP2"	"M1"
"MTUS2"	"M1"
"LINC01299"	"M3"
"GPR146"	"M2"
"NEUROD1"	"M1"
"DYNLT5"	"M2"
"TLR3"	"M2"
"RCVRN"	"Not.Correlated"
"TTTY14"	"Not.Correlated"
"INSYN2B"	"M2"
"KIF25"	"Not.Correlated"
"BTBD16"	"M3"
"GPLD1"	"M1"
"ZBBX"	"M1"
"EMB"	"M1"
"NEU3"	"M2"
"MSC-AS1"	"M1"
"SECTM1"	"M2"
"TYMSOS"	"M3"
"TAPBP"	"M2"
"TMEM196"	"M1"
"USP32P3"	"M2"
"CYP2C8"	"M1"
"GPR150"	"M1"
"GLP2R"	"M1"
"C21orf62"	"M2"
"TES"	"M2"
"SLC27A6"	"M3"
"SLC37A2"	"M2"
"AQP9"	"M2"
"BDNF"	"M1"
"FREM2"	"M2"
"RNF128"	"M1"
"MAGEE2"	"M1"
"PCDHGA2"	"M2"
"PI15"	"M2"
"MASP2"	"M2"
"GRIP1"	"M1"
"TLR10"	"M2"
"RAB5IF"	"M2"
"SIGLEC14"	"M2"
"SCART1"	"M3"
"DNAH11"	"M2"
"INHBA-AS1"	"M1"
"C3orf80"	"M1"
"CABCOCO1"	"M2"
"C8orf34"	"M2"
"HSPA7"	"M2"
"SPAG6"	"Not.Correlated"
"TAFA4"	"M3"
"TAC1"	"M1"
"GALNTL6"	"M1"
"CYP7B1"	"M2"
"ZNF426"	"M2"
"HES5"	"Not.Correlated"
"DNAH5"	"M2"
"SLC16A6"	"M1"
"HTR1E"	"M1"
"CXCL1"	"Not.Correlated"
"CNTN6"	"M1"
"LINC00643"	"M1"
"LINC02389"	"M1"
"PAX8"	"Not.Correlated"
"SLC7A4"	"M1"
"RPS4XP22"	"Not.Correlated"
"CYP4F3"	"M2"
"P2RY1"	"M2"
"HLA-H"	"Not.Correlated"
"FADS6"	"M1"
"FPR3"	"M2"
"STC2"	"Not.Correlated"
"MMRN1"	"M2"
"VNN2"	"M2"
"HTR2C"	"M1"
"MKX"	"M1"
"OR7A5"	"M2"
"KIF12"	"M1"
"FRK"	"M3"
"CLEC4E"	"Not.Correlated"
"PPM1E"	"M1"
"GSTM3P1"	"M2"
"OCA2"	"M1"
"RAC2"	"M2"
"CPXM2"	"M3"
"TSPAN8"	"M3"
"NLRP2"	"M1"
"THEMIS"	"M1"
"TNFRSF10A"	"M2"
"ATP1A4"	"Not.Correlated"
"CFAP100"	"Not.Correlated"
"RNASE2"	"M2"
"ACER2"	"M2"
"PCDHGC4"	"M2"
"LRRC37A6P"	"M2"
"PPP4R1L"	"M2"
"NFYC-AS1"	"M2"
"AK7"	"M2"
"ZNF367"	"M2"
"PABPC1L2B"	"M1"
"CCR5"	"M2"
"OPN3"	"M1"
"GULP1"	"M1"
"PTH2R"	"M1"
"PRSS35"	"M2"
"NOMO2"	"M2"
"OMD"	"M2"
"CFAP65"	"Not.Correlated"
"KCNB2"	"M1"
"MIR770"	"M1"
"ABCC12"	"M1"
"PCDHGA10"	"M2"
"LANCL3"	"M1"
"LINC00940"	"M3"
"DES"	"Not.Correlated"
"LINC02199"	"M3"
"CCBE1"	"M1"
"LINGO2"	"M1"
"LRRC63"	"M3"
"IL1R2"	"M2"
"CASQ2"	"M2"
"EPCAM"	"M1"
"CNTNAP5"	"M1"
"IGSF6"	"M2"
"PKD2L1"	"M1"
"CNGB1"	"M1"
"NEK10"	"M1"
"IQGAP2"	"M2"
"DCTN1-AS1"	"M1"
"ANKRD18A"	"M3"
"PRKG2"	"M2"
"VWA3B"	"Not.Correlated"
"SMYD1"	"M1"
"ENPEP"	"M2"
"CLIC5"	"M2"
"STAR"	"M1"
"KLHL11"	"M2"
"UMODL1-AS1"	"M1"
"PCDHGB1"	"M2"
"C4A"	"Not.Correlated"
"CSF3"	"Not.Correlated"
"TMEM200A"	"M1"
"SOWAHB"	"M1"
"DPY19L2P2"	"M1"
"PKP2"	"M2"
"TBX15"	"M2"
"FCGR3B"	"M2"
"PRTG"	"M2"
"PNMA6A"	"M1"
"CDH12"	"M1"
"CFTR"	"M3"
"LBH"	"M2"
"CYTIP"	"M2"
"GASK1B-AS1"	"M2"
"HOXD1"	"M3"
"CR1"	"M2"
"LIPG"	"M2"
"CFAP54"	"M2"
"PCDHGA11"	"M2"
"COL3A1"	"M2"
"F5"	"M2"
"ARHGAP27"	"M2"
"FRMPD2"	"M2"
"PPEF1"	"M1"
"ADTRP"	"M1"
"BEND4"	"M1"
"NPIPB15"	"Not.Correlated"
"LINC02177"	"M3"
"INSM2"	"M1"
"ADAMTS3"	"M1"
"CD302"	"M2"
"RANBP17"	"M1"
"EFHB"	"Not.Correlated"
"ANGPTL1"	"M2"
"EPN3"	"M1"
"BCL2A1"	"M2"
"C1orf87"	"Not.Correlated"
"CCDC144CP"	"M2"
"KHDRBS2"	"M1"
"SMIM6"	"M3"
"SPIN4"	"M2"
"TEX15"	"M2"
"TSPAN19"	"M3"
"PTPN7"	"M2"
"SCN7A"	"M1"
"OCLN"	"M2"
"IL12RB2"	"M1"
"ZNF224"	"M2"
"MGAM"	"M2"
"LHX4"	"M2"
"PPM1K-DT"	"Not.Correlated"
"ZIC3"	"M2"
"PCDHGA4"	"M2"
"KL"	"M2"
"VWA2"	"M2"
"LINC01010"	"M3"
"ZNF702P"	"M1"
